area,total,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Mt Eden East,53,6,5,1,3,9,4,3,1,5,4,4,8
Mt Eden North,295,28,11,20,17,23,30,22,24,27,27,34,32
Mt Eden South,70,6,6,1,7,9,11,7,3,6,7,6,1
Mt Hobson,215,18,13,11,18,23,18,28,17,16,21,18,14
Mt St John,57,5,5,5,7,4,2,3,7,0,4,10,5
Mt Victoria,57,1,7,3,3,3,3,2,5,4,9,9,8
Mt Wellington Domain,132,17,12,3,15,15,12,5,16,11,7,8,11
Mt Wellington North,500,40,45,50,38,48,33,57,41,33,41,33,41
Mt Wellington South,1775,118,113,135,154,160,182,146,155,153,165,127,167
Mt Wellington West,320,21,31,29,33,21,20,31,24,31,22,25,32
Muriwai Beach,15,2,0,0,0,2,2,1,4,2,0,1,1
Muriwai Valley,4,2,0,0,0,1,1,0,0,0,0,0,0
Murrays Bay,20,1,4,1,3,1,0,6,2,0,0,2,0
Murvale,35,6,2,2,4,1,0,1,5,5,3,3,3
Narrow Neck,19,2,4,2,2,3,0,2,1,2,0,0,1
New Lynn North,488,61,36,35,50,39,55,47,53,29,25,32,26
New Lynn South,118,7,15,14,6,13,11,8,10,13,7,7,7
New Windsor,103,12,7,14,9,13,2,7,4,6,8,9,12
Newmarket,1263,105,80,82,49,106,123,104,92,145,112,151,114
Newton,308,23,34,15,23,28,28,29,14,25,22,32,35
North Harbour East,174,18,19,19,8,17,15,12,13,11,13,17,12
North Harbour West,34,4,0,3,3,3,0,2,6,3,2,4,4
Northcote South,80,2,7,8,9,7,5,9,16,5,4,3,5
Northcross,22,2,2,2,4,0,3,2,1,2,3,0,1
Oaktree,23,3,0,3,2,2,1,1,0,6,1,4,0
Ocean View,52,4,3,4,9,7,4,4,2,4,5,4,2
Oceanic-Auckland Region East,3,0,1,0,0,1,0,0,0,0,0,1,0
Oceanic-Auckland Region West,3,0,0,0,0,1,0,1,0,0,0,1,0
Omaha,10,0,1,0,1,0,3,2,2,1,0,0,0
One Tree Hill Central,122,8,16,5,13,12,16,13,7,10,2,12,8
One Tree Hill East,73,9,9,7,4,3,3,3,6,8,6,5,10
Onehunga North East,37,1,2,1,5,3,2,7,2,5,2,0,7
Onehunga North West,97,3,4,7,6,12,7,12,6,11,12,9,8
Onehunga South East,448,40,41,28,28,40,40,41,53,34,31,30,42
Onehunga South West,99,7,4,7,9,9,14,9,8,15,4,5,8
Opaheke,62,2,3,0,3,7,6,10,8,7,3,8,5
Opanuku,37,1,3,2,3,0,6,4,2,8,5,2,1
Orakei North,113,6,7,4,11,12,14,11,7,12,11,11,7
Orakei South,27,2,0,2,0,4,3,2,3,4,2,3,2
Oranga,70,5,6,4,3,8,5,10,7,11,1,2,8
Oratia,60,9,6,4,7,1,1,6,7,7,5,1,6
Oratia West,3,0,0,0,1,0,1,0,1,0,0,0,0
Orewa,214,24,11,12,19,17,19,24,24,16,19,13,16
Orewa West,19,1,2,1,3,1,4,0,0,4,0,0,3
Ormiston,560,42,29,54,54,46,46,47,64,38,39,45,56
Otahuhu East,34,4,1,4,0,4,2,0,1,7,3,5,3
Otahuhu North,113,5,15,6,11,11,12,4,13,7,10,14,5
Otahuhu West,577,49,50,35,48,53,45,48,58,55,55,39,42
Otara East,54,3,6,7,3,5,6,3,8,3,6,0,4
Otara North,175,11,10,13,17,12,21,16,13,21,10,17,14
Otara South,71,5,5,5,3,6,8,2,7,8,8,4,10
Otara West,54,5,3,3,7,10,3,3,7,4,3,2,4
Otimai,20,3,1,2,2,2,0,1,2,0,4,0,3
Owairaka East,61,3,4,2,5,6,15,7,0,5,3,7,4
Owairaka West,60,5,9,2,5,4,6,2,4,4,5,6,8
Paerata-Cape Hill,47,5,1,3,1,1,5,8,6,3,4,5,5
Pahurehure,102,7,7,6,12,8,6,15,0,4,10,13,14
Pakuranga Central,277,40,41,34,29,20,9,19,14,15,18,23,15
Pakuranga East,49,8,4,8,5,1,2,3,5,6,1,2,4
Pakuranga North,33,5,3,4,2,2,0,0,1,6,3,3,4
Palm Heights,35,1,1,2,1,1,3,5,2,3,6,7,3
Panmure Basin,90,6,4,8,8,6,9,14,6,9,4,10,6
Papakura Central,1129,95,122,91,100,68,64,92,110,95,68,119,105
Papakura East,155,14,9,14,17,7,9,17,20,15,14,15,4
Papakura North,477,26,47,47,35,30,32,25,41,42,28,50,74
Papakura North East,236,21,13,31,17,29,22,14,14,26,15,22,12
Papakura South,59,4,2,1,9,5,2,8,8,6,7,2,5
Paparata,1,0,0,0,0,0,0,0,0,1,0,0,0
Papatoetoe Central,923,77,64,80,64,65,44,61,85,95,83,123,82
Papatoetoe East,217,18,11,16,13,19,21,23,23,30,16,12,15
Papatoetoe North,317,28,18,16,30,26,22,18,37,42,36,28,16
Papatoetoe West,175,11,13,16,13,14,11,16,10,18,12,23,18
Parakai Rural,5,0,0,0,1,0,1,0,0,0,2,0,1
Parakai Urban,58,6,1,0,3,2,6,3,2,10,12,8,5
Paremoremo East,148,17,17,9,10,14,17,13,14,6,6,14,11
Paremoremo West,3,0,0,1,0,0,0,0,1,0,1,0,0
Parnell East,21,9,1,1,0,1,2,1,0,0,3,2,1
Parnell West,207,19,13,23,9,16,23,9,16,30,21,13,15
Parrs Park,34,3,4,2,1,0,2,2,2,9,2,5,2
Parrs Park West,56,8,7,2,3,7,1,2,6,5,1,7,7
Patumahoe,19,1,3,1,1,0,2,6,1,2,1,0,1
Penrose,140,6,16,6,16,18,7,11,14,7,11,16,12
Pigeon Mountain North,31,3,2,3,5,0,2,3,1,2,0,3,7
Pigeon Mountain South,89,21,12,14,14,4,2,1,6,2,5,7,1
Pinehill,119,30,25,6,5,0,9,3,1,2,14,12,12
Point Chevalier East,764,79,83,69,42,49,43,51,42,93,66,84,63
Point Chevalier South,48,7,4,3,8,1,4,3,4,6,5,2,1
Point Chevalier West,54,1,0,1,10,5,9,4,6,5,3,6,4
Point England,108,8,14,8,7,10,9,9,10,7,11,6,9
Point View,34,4,6,1,1,2,1,3,6,3,4,2,1
Ponsonby East,131,10,9,17,8,13,16,7,10,6,4,16,15
Ponsonby West,123,15,15,16,10,1,2,8,2,11,10,22,11
Puhinui North,148,5,12,5,10,15,22,12,8,24,20,6,9
Puhinui South,239,21,18,19,8,20,16,30,20,21,27,19,20
Pukekohe North,580,44,61,38,39,46,49,48,59,65,47,40,44
Pukekohe West,227,29,31,13,21,13,19,18,23,13,13,17,17
Randwick Park,84,8,6,5,5,15,8,12,10,3,2,8,2
Ranui Domain,121,11,8,4,15,10,3,20,10,14,2,9,15
Ranui South,61,2,7,3,5,11,7,2,2,9,4,3,6
Red Beach East,57,4,2,4,5,8,5,8,12,3,1,2,3
Red Beach West,16,2,0,1,1,1,2,1,2,2,1,1,2
Red Hill,47,5,1,2,5,4,4,4,6,5,3,3,5
Redoubt East,8,0,0,2,2,0,0,1,1,1,0,1,0
Redoubt North,77,5,4,10,9,6,12,4,6,6,6,7,2
Redoubt South,88,8,6,5,2,7,8,8,5,12,5,8,14
Remuera South,540,44,28,9,17,30,29,79,61,88,77,49,29
Remuera West,34,2,3,1,5,2,3,3,1,6,4,1,3
Rewarewa,98,9,8,9,10,14,8,9,8,9,6,5,3
Rewiti,8,0,0,0,3,0,1,0,0,0,1,2,1
Riverhead,15,0,0,2,2,4,0,4,0,0,2,1,0
Riverhead Urban,32,3,1,1,3,2,3,0,3,7,4,4,1
Roberton,248,22,20,19,24,13,18,16,23,24,17,23,29
Rongomai,478,46,40,37,41,40,31,48,28,37,47,48,35
Rosebank,113,4,8,9,12,15,11,8,9,10,9,10,8
Rosehill,337,26,27,24,17,28,38,27,21,36,37,30,26
Rothesay Bay,26,4,3,1,2,2,2,3,0,2,4,1,2
Rowandale,66,2,7,7,3,5,7,9,3,6,8,2,7
Royal Heights,152,8,9,6,11,23,22,13,12,13,12,10,13
Royal Oak,270,25,24,13,27,23,22,30,22,38,15,19,12
Royal Road West,35,2,0,6,3,6,3,1,0,5,3,2,4
Runciman,7,2,1,0,1,0,0,1,0,0,0,0,2
Sandringham East,48,2,3,4,7,2,1,9,1,5,4,7,3
Sandringham North,1000,191,133,71,79,70,68,62,68,77,52,66,63
Sandringham West,275,27,24,16,28,32,27,23,17,20,19,27,15
Seacliffe,40,3,3,3,3,2,4,1,2,5,6,4,4
Shelly Park,8,1,0,1,2,0,1,0,1,2,0,0,0
Sherbourne,97,7,9,7,4,7,10,8,7,15,1,15,7
Silverdale Central,747,79,69,90,54,38,66,83,48,44,56,59,61
Silverdale North,22,2,1,1,6,1,3,3,1,2,1,1,0
Silverdale South,2,0,0,0,0,0,0,0,0,1,1,0,0
Snells Beach,23,1,1,1,3,5,1,4,1,2,0,2,2
South Head,19,0,3,1,1,3,3,4,0,2,0,0,2
South Waiuku,7,0,0,0,0,0,2,0,0,1,1,2,1
Springleigh,205,7,12,9,13,13,8,9,10,30,33,35,26
St Heliers,34,2,3,5,3,3,3,4,2,5,2,1,1
St Johns,317,28,15,37,11,23,18,35,28,47,28,21,26
St Lukes,393,31,35,37,35,33,21,22,28,37,44,31,39
St Lukes North,7,0,1,2,2,0,0,2,0,0,0,0,0
St Marys,75,5,7,11,6,3,5,9,6,4,6,6,7
Stanley Bay,19,0,0,0,3,1,5,0,2,0,3,1,4
Stanmore Bay East,29,3,1,3,4,6,0,3,2,3,1,2,1
Stanmore Bay West,62,4,2,6,3,3,4,5,9,10,4,7,5
Starling Park,97,6,6,9,6,10,12,9,9,7,8,7,8
Stonefields,211,14,12,10,22,20,21,15,18,26,21,18,14
Sturges North,140,12,8,8,13,15,17,8,10,20,9,6,14
Sunnybrae,125,12,12,6,7,11,11,14,9,9,14,13,7
Sunnyhills,65,1,5,7,3,9,5,3,10,3,1,12,6
Sunnynook,107,9,6,3,6,5,5,9,4,16,14,14,16
Sunnyvale,125,17,4,6,7,10,15,15,16,4,6,16,9
Surrey Crescent,101,9,7,9,7,5,11,13,9,9,11,7,4
Swanson,81,5,9,2,13,5,8,8,6,11,4,7,3
Swanson South,16,0,3,3,1,2,3,0,2,0,0,1,1
Tahekeroa,32,1,2,4,1,3,6,2,4,1,1,4,3
Takanini North,254,21,13,28,27,20,27,20,16,22,12,26,22
Takanini South,1979,194,162,141,137,128,129,172,161,196,180,181,198
Takanini West,351,44,24,29,28,18,44,25,29,27,38,27,18
Takapuna Central,305,28,22,27,22,29,36,28,27,29,18,14,25
Tamaki,123,11,6,10,12,13,13,6,5,13,10,9,15
Tamaki Strait,1,0,0,0,0,0,0,1,0,0,0,0,0
Tangutu,53,3,7,6,3,4,1,6,7,7,6,1,2
Target Road,166,15,27,10,9,11,16,12,20,13,13,16,4
Tauhoa-Puhoi,51,1,5,2,4,4,4,3,7,6,7,2,6
Taupaki,23,2,1,4,1,3,0,5,2,2,2,1,0
Te Atatu Central,195,19,20,26,16,19,14,16,13,15,15,11,11
Te Papapa,108,9,10,6,9,13,2,9,6,22,14,5,3
Three Kings,478,32,32,22,39,48,30,51,32,45,52,60,35
Tidal-Eastern Bays,4,0,0,0,0,2,0,2,0,0,0,0,0
Tidal-Waitemata Harbour,3,0,1,0,0,1,0,0,0,0,1,0,0
Titirangi South,39,1,7,2,6,1,3,3,3,2,2,6,3
Torbay,32,2,1,5,4,3,7,1,1,2,1,2,3
Totara Heights,83,3,11,3,4,6,7,10,6,11,5,9,8
Tuff Crater,345,9,81,35,11,22,26,24,17,12,15,56,37
Turanga,35,4,2,1,2,2,3,2,3,3,6,3,4
Unsworth Heights,16,3,1,0,1,1,2,2,2,1,1,2,0
Urlich,44,4,3,1,2,7,6,0,3,10,5,2,1
Vipond,14,2,0,1,0,2,2,1,3,1,1,1,0
Viscount,77,5,9,6,8,6,5,7,4,6,8,4,9
